COD_PAR;COD_PAR_INV;TALHAO;MATGEN;PARCELA;LEVANTAMENTO;ANO;IDADE;DAP;DENSIDADE;AREABASAL;ALTURA;ALTURADOMINANTE;VOLUMECOMERCIAL;VOLUMETOTAL;S2;S1;PR;Classe Idade;NMED;SEQMED;NV;VC/VT;
90101-10-01_16;90101-10-01_16_IFC 2010;90101-10-01;Pinus taeda;16;IFC 2010;2010;9,4;18,2;1459,0;2,0;13,1;14,0;214,0;236,6;9,7;18,5;185,8;9,0;3;1;6,2;0,90;
90101-10-01_16;90101-10-01_16_IFC 2013;90101-10-01;Pinus taeda;16;IFC 2013;2013;10,9;19,6;1459,0;2,3;16,4;14,4;319,5;345,0;23,1;48,0;248,4;11,0;3;2;4,2;0,93;
90101-10-01_16;90101-10-01_16_IFC 2013;90101-10-01;Pinus taeda;16;IFC 2013;2013;12,0;19,9;1459,0;2,4;16,8;17,6;347,3;373,4;35,8;70,7;240,8;12,0;3;3;3,9;0,93;
90101-1-01_21;90101-1-01_21_IFC 2010;90101-1-01;Pinus taeda;21;IFC 2010;2010;9,4;19,9;1538,9;2,5;13,7;14,1;278,1;302,7;12,5;41,2;224,4;9,0;3;1;5,1;0,92;
90101-1-01_21;90101-1-01_21_IFC 2013;90101-1-01;Pinus taeda;21;IFC 2013;2013;10,9;20,3;1538,9;2,6;17,1;16,7;374,3;401,3;22,1;70,1;282,1;11,0;3;2;3,8;0,93;
90101-1-01_21;90101-1-01_21_IFC 2013;90101-1-01;Pinus taeda;21;IFC 2013;2013;12,0;21,1;1479,0;2,7;17,8;19,5;409,3;435,1;45,5;72,8;291,1;12,0;3;3;3,4;0,94;
90101-11-01_14;90101-11-01_14_IFC 2010;90101-11-01;Pinus taeda;14;IFC 2010;2010;9,4;20,6;1519,0;2,6;14,0;15,9;297,9;322,7;19,1;40,3;238,5;9,0;3;1;4,7;0,92;
90101-11-01_14;90101-11-01_14_IFC 2013;90101-11-01;Pinus taeda;14;IFC 2013;2013;10,9;20,7;1499,0;2,6;17,2;16,8;372,6;398,1;28,9;58,0;285,7;11,0;3;2;3,8;0,94;
90101-11-01_14;90101-11-01_14_IFC 2013;90101-11-01;Pinus taeda;14;IFC 2013;2013;12,0;21,0;1499,0;2,7;17,8;20,1;406,5;433,6;46,8;72,3;287,4;12,0;3;3;3,5;0,94;
90101-12-01_13;90101-12-01_13_IFC 2010;90101-12-01;Pinus taeda;13;IFC 2010;2010;9,4;17,7;1538,9;2,0;13,0;13,0;201,2;227,0;0,0;9,2;192,0;9,0;2;1;6,8;0,89;
90101-12-01_13;90101-12-01_13_IFC 2013;90101-12-01;Pinus taeda;13;IFC 2013;2013;12,0;19,8;1479,0;2,4;16,8;16,8;331,6;356,8;12,2;47,4;272,0;12,0;2;2;4,1;0,93;
90101-13-01_10;90101-13-01_10_IFC 2010;90101-13-01;Pinus taeda;10;IFC 2010;2010;9,4;20,1;1479,0;2,4;14,0;16,2;277,7;302,6;9,6;41,3;226,9;9,0;2;1;4,9;0,92;
90101-13-01_10;90101-13-01_10_IFC 2013;90101-13-01;Pinus taeda;10;IFC 2013;2013;10,9;21,6;1459,0;2,8;17,7;18,2;410,3;437,3;35,2;84,3;290,8;11,0;2;2;3,3;0,94;
90101-13-01_12;90101-13-01_12_IFC 2010;90101-13-01;Pinus taeda;12;IFC 2010;2010;9,4;18,4;1519,0;2,1;13,4;14,6;224,7;249,8;0,0;15,3;209,4;9,0;2;1;6,1;0,90;
90101-13-01_12;90101-13-01_12_IFC 2013;90101-13-01;Pinus taeda;12;IFC 2013;2013;10,9;19,9;1459,0;2,4;16,8;15,2;327,4;353,1;9,8;47,6;269,9;11,0;2;2;4,1;0,93;
90101-14-01_11;90101-14-01_11_IFC 2010;90101-14-01;Pinus taeda;11;IFC 2010;2010;9,4;18,8;1439,0;2,1;13,5;14,6;227,0;248,2;0,0;21,8;205,3;9,0;3;1;5,8;0,91;
90101-14-01_11;90101-14-01_11_IFC 2013;90101-14-01;Pinus taeda;11;IFC 2013;2013;10,9;20,2;1439,0;2,4;16,8;15,3;333,2;360,8;15,0;67,6;250,6;11,0;3;2;4,0;0,92;
90101-14-01_11;90101-14-01_11_IFC 2013;90101-14-01;Pinus taeda;11;IFC 2013;2013;12,0;20,9;1439,0;2,6;17,5;18,5;382,9;407,9;37,7;83,6;261,6;12,0;3;3;3,5;0,94;
90101-15-01_3;90101-15-01_3_IFC 2010;90101-15-01;Pinus taeda;3;IFC 2010;2010;9,4;19,9;1519,0;2,5;13,8;15,7;283,9;309,5;16,3;53,6;214,0;9,0;3;1;4,9;0,92;
90101-15-01_3;90101-15-01_3_IFC 2013;90101-15-01;Pinus taeda;3;IFC 2013;2013;10,9;21,0;1439,0;2,6;17,5;18,2;384,4;410,2;34,1;82,9;267,4;11,0;3;2;3,5;0,94;
90101-15-01_3;90101-15-01_3_IFC 2013;90101-15-01;Pinus taeda;3;IFC 2013;2013;12,0;21,7;1439,0;2,8;17,8;19,5;420,7;444,7;62,5;84,2;274,1;12,0;3;3;3,2;0,95;
90101-16-01_2;90101-16-01_2_IFC 2010;90101-16-01;Pinus taeda;2;IFC 2010;2010;9,4;18,0;1538,9;2,1;13,0;13,4;213,3;239,1;0,0;12,7;200,7;9,0;3;1;6,4;0,89;
90101-16-01_2;90101-16-01_2_IFC 2013;90101-16-01;Pinus taeda;2;IFC 2013;2013;10,9;19,4;1519,0;2,4;16,6;15,9;323,0;350,5;6,4;50,0;266,6;11,0;3;2;4,3;0,92;
90101-16-01_2;90101-16-01_2_IFC 2013;90101-16-01;Pinus taeda;2;IFC 2013;2013;12,0;20,0;1499,0;2,5;16,9;17,1;347,9;376,6;18,7;61,2;268,1;12,0;3;3;4,0;0,92;
90101-17-01_1;90101-17-01_1_IFC 2010;90101-17-01;Pinus taeda;1;IFC 2010;2010;9,4;19,4;1419,0;2,2;13,6;14,7;240,8;264,2;3,0;27,2;210,6;9,0;3;1;5,4;0,91;
90101-17-01_1;90101-17-01_1_IFC 2013;90101-17-01;Pinus taeda;1;IFC 2013;2013;10,9;20,4;1379,1;2,3;17,2;17,5;335,2;359,5;15,8;47,6;271,9;11,0;3;2;3,8;0,93;
90101-17-01_1;90101-17-01_1_IFC 2013;90101-17-01;Pinus taeda;1;IFC 2013;2013;12,0;21,1;1379,1;2,5;17,4;18,3;368,9;392,8;34,7;70,7;263,5;12,0;3;3;3,5;0,94;
90101-18-01_9;90101-18-01_9_IFC 2010;90101-18-01;Pinus taeda;9;IFC 2010;2010;9,4;18,1;1578,9;2,1;13,2;14,3;221,9;247,6;0,0;9,5;212,4;9,0;2;1;6,4;0,90;
